,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
322751,tt0647655,tvEpisode,Master Vile and the Metallic Armor: Part III,Master Vile and the Metallic Armor: Part III,0,1995,21,"Action,Adventure,Family",7.5,169,Action
615945,tt1596970,tvEpisode,I Need You to Call Earl,I Need You to Call Earl,0,2010,44,"Drama,Fantasy",8.5,26,Drama
34840,tt0056210,movie,Mafioso,Mafioso,0,1962,105,"Comedy,Crime,Drama",7.7,2216,Comedy
73126,tt0100848,tvMovie,Unspeakable Acts,Unspeakable Acts,0,1990,100,"Biography,Drama",6.2,347,Biography
102374,tt0147101,short,Nursery Scandal,Nursery Scandal,0,1932,5,"Animation,Comedy,Musical",4.5,45,Animation
493633,tt11282130,tvEpisode,Chain,Chain,0,2020,23,"Animation,Drama,Mystery",6.6,35,Animation
824213,tt3851668,tvMiniSeries,Creature Commandos,Creature Commandos,0,2014,1,"Animation,Fantasy,Sci-Fi",7.9,30,Animation
583750,tt1420807,tvEpisode,Pyromaniac,Pyromaniac,0,2009,44,"Crime,Drama",7.8,6,Crime
956056,tt6224386,tvEpisode,Three Demons and a Demon Baby,Three Demons and a Demon Baby,0,2016,11,"Comedy,Fantasy",7.8,24,Comedy
196923,tt0352247,short,The Cicerones,The Cicerones,0,2002,13,"Horror,Short",5.8,133,Horror
514809,tt1182350,movie,You Will Meet a Tall Dark Stranger,You Will Meet a Tall Dark Stranger,0,2010,98,"Comedy,Drama,Romance",6.3,43554,Comedy
154651,tt0258210,movie,Stalled,Stalled,0,2000,96,Comedy,4.9,98,Comedy
394586,tt0839753,short,Brunch of the Living Dead,Brunch of the Living Dead,0,2006,28,"Action,Comedy,Horror",6.9,35,Action
433748,tt0990212,tvEpisode,Medaljen,Medaljen,0,1997,15,Family,7.5,10,Family
299272,tt0593270,tvEpisode,Homecoming Queen,Homecoming Queen,0,1988,25,"Comedy,Family",6.7,38,Comedy
76071,tt0104391,movie,Hard Hunted,Hard Hunted,0,1993,97,"Action,Adventure,Thriller",4.0,833,Action
390860,tt0829616,tvEpisode,People with Money,People with Money,0,2006,42,"Action,Crime,Drama",7.2,239,Action
1002196,tt7189324,movie,Those Who Are Fine,Dene wos guet geit,0,2017,71,Drama,6.2,338,Drama
930528,tt5788316,short,Home,Home,0,2016,24,"Drama,Short",8.5,6,Drama
109969,tt0161968,movie,Mr. Photographer,El señor fotógrafo,0,1953,100,"Comedy,Drama,Thriller",7.1,263,Comedy
172720,tt0294525,movie,Twice Upon a Time,Deux fois,0,1968,75,Drama,6.5,110,Drama
1079311,tt9224254,tvEpisode,Gaps & Bunches,Gaps & Bunches,0,2019,31,"Comedy,Drama",7.4,86,Comedy
523458,tt1205600,movie,Questa notte è ancora nostra,Questa notte è ancora nostra,0,2008,98,Comedy,5.0,346,Comedy
373472,tt0775442,video,The Choke: The Legend Begins,The Choke: The Legend Begins,0,2006,16,Short,5.0,14,Short
568290,tt1342155,movie,2 geile Hirsche auf der Flucht,2 geile Hirsche auf der Flucht,1,1976,75,"Adult,Comedy",5.7,25,Adult
12603,tt0029286,movie,Mysterious Crossing,Mysterious Crossing,0,1936,57,"Crime,Drama,Mystery",5.8,6,Crime
626132,tt1655461,movie,Wild Oats,Wild Oats,0,2016,86,"Action,Adventure,Comedy",5.7,3373,Action
926372,tt5714398,tvEpisode,The Enemies of My Enemy,The Enemies of My Enemy,0,2016,52,"Biography,Crime,Drama",8.6,3556,Biography
1006144,tt7270650,tvSeries,Ljubov I Predavstvo,Love and Betrayal,0,2017,30,Drama,9.2,11,Drama
23277,tt0042506,movie,The Girl from San Lorenzo,The Girl from San Lorenzo,0,1950,58,"Action,Comedy,Drama",7.2,19,Action
526119,tt12125238,tvSeries,Ek Thi Begum,Ek Thi Begum,0,2020,27,"Crime,Drama",6.8,450,Crime
707423,tt2211718,movie,Hilda,Hilda,0,2014,89,"Comedy,Drama",6.4,306,Comedy
1061599,tt8733182,tvEpisode,Outside the Walls of Orvud District,Outside the Walls of Orvud District,0,2018,24,"Action,Adventure,Animation",9.1,3179,Action
890572,tt5086834,tvEpisode,Into the Woods,Into the Woods,0,2016,43,"Crime,Documentary",7.8,12,Crime
788205,tt3293678,tvEpisode,Episode #2.7,Episode #2.7,0,2013,51,"Action,Crime,Drama",7.8,11,Action
263908,tt0512468,tvEpisode,"Divorce, Mountain Style","Divorce, Mountain Style",0,1964,30,"Comedy,Family",7.7,211,Comedy
502891,tt1152200,tvEpisode,Der Fall Petra Hansen,Der Fall Petra Hansen,0,1979,60,"Crime,Drama",6.7,6,Crime
193616,tt0343340,short,72 Virgins,72 Virgins,0,2002,4,Short,6.3,16,Short
775615,tt3102156,short,Project Arbiter,Project Arbiter,0,2013,22,"Action,Sci-Fi,Short",6.3,203,Action
721435,tt2325852,tvEpisode,Episode #1.3,Episode #1.3,0,2012,23,"Comedy,Drama",7.8,328,Comedy
460862,tt10544406,short,The Glass Blower,The Glass Blower,0,2015,4,"Documentary,Short",10.0,6,Documentary
547809,tt1277904,tvEpisode,Guess Who's Running the Max,Guess Who's Running the Max,0,1998,20,"Comedy,Family",5.6,5,Comedy
952320,tt6157148,tvSeries,Weightlifting Fairy Kim Bok-Joo,Yeokdoyojeong Gim Bokju,0,2016,60,"Comedy,Romance",8.4,4348,Comedy
566790,tt1337146,movie,Break-Up Date,Break-Up Date,0,2008,90,Documentary,7.7,6,Documentary
291687,tt0576430,tvEpisode,Terror aus dem Jenseits,Terror aus dem Jenseits,0,1999,58,"Crime,Thriller",7.4,10,Crime
602816,tt1526584,movie,Deadly Beauty,Deadly Beauty,0,2008,55,Thriller,5.0,7,Thriller
102471,tt0147386,video,The Screwdriver Saloon,The Screwdriver Saloon,1,1988,74,Adult,5.6,8,Adult
722424,tt2332769,short,Root,Root,0,2012,12,"Drama,Horror,Short",8.2,10,Drama
1065522,tt8856416,tvEpisode,Happy Trails,Happy Trails,0,2019,47,"Drama,Sci-Fi,Thriller",8.1,833,Drama
587531,tt1442437,tvSeries,Modern Family,Modern Family,0,2009,22,"Comedy,Drama,Romance",8.4,347314,Comedy
875890,tt4790548,tvMiniSeries,Underwear,Underwear,0,2015,50,"Comedy,Drama",7.3,809,Comedy
278505,tt0545134,tvEpisode,The Two Faces of Ed,The Two Faces of Ed,0,1992,60,"Comedy,Crime,Drama",8.1,55,Comedy
68975,tt0095978,movie,Rented Lips,Rented Lips,0,1988,82,Comedy,3.9,285,Comedy
125010,tt0191728,tvMovie,Schoolgirl Chums,Schoolgirl Chums,0,1982,65,Family,6.6,12,Family
780847,tt3181208,short,No es País para Zombies,No es País para Zombies,0,2011,22,"Comedy,Horror,Romance",7.8,5,Comedy
259080,tt0503542,tvEpisode,The Well-Selected Frame,The Well-Selected Frame,0,1958,48,"Action,Crime,Drama",8.4,49,Action
7245,tt0022086,movie,Lonely Wives,Lonely Wives,0,1931,85,"Comedy,Romance",6.3,345,Comedy
187015,tt0325038,short,Babyphoned,Babyphoned,0,2002,10,Short,7.4,74,Short
38645,tt0060577,movie,Jutro Meksyk,Jutro Meksyk,0,1966,88,"Drama,Sport",6.4,37,Drama
346335,tt0702632,tvEpisode,Question: Remember the Dark Sins of Youth?,Question: Remember the Dark Sins of Youth?,0,1964,60,Drama,8.6,5,Drama
99564,tt0140875,short,California Sunshine,California Sunshine,0,1997,20,"Comedy,Short",7.2,42,Comedy
846653,tt4259702,tvEpisode,Episode #1.7,Episode #1.7,0,2015,47,"Drama,Sci-Fi",8.4,904,Drama
88516,tt0119655,movie,Men of Means,Men of Means,0,1998,80,"Action,Drama",6.3,141,Action
675002,tt1975158,movie,Finding Joy,Finding Joy,0,2013,96,"Comedy,Drama",5.3,356,Comedy
800883,tt3490944,tvEpisode,Paul Krugman,Paul Krugman,0,2014,22,"Comedy,News,Talk-Show",7.4,13,Comedy
675632,tt1979129,tvEpisode,International Fresh Faces,International Fresh Faces,0,2011,44,Reality-TV,1.0,7,Reality-TV
385264,tt0812420,tvEpisode,The New World,The New World,0,2006,84,"Drama,Mystery,Sci-Fi",7.7,359,Drama
805674,tt3560736,short,Besuch im Wald,Besuch im Wald,0,2014,30,"Drama,Short",5.8,6,Drama
491561,tt11238604,movie,MessiCirque,MessiCirque,0,2019,68,Documentary,8.5,15,Documentary
889760,tt5074256,tvEpisode,Big Troubles/Manner Maid,Big Troubles/Manner Maid,0,2015,11,"Adventure,Animation,Comedy",5.4,9,Adventure
793464,tt3378300,tvEpisode,"Me, Abandoned All Alone at the Edge of the World","Me, Abandoned All Alone at the Edge of the World",0,2013,64,"Comedy,Drama,Fantasy",8.2,22,Comedy
153437,tt0255374,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,0,1981,156,"Comedy,Fantasy,Music",7.7,29,Comedy
110250,tt0162716,movie,Scar,Tzaleket,0,1994,92,Drama,3.8,9,Drama
783964,tt3229400,tvEpisode,Girl in the Flower Dress,Girl in the Flower Dress,0,2013,43,"Action,Adventure,Drama",7.5,3562,Action
679897,tt2009536,tvMovie,Nina Hagen - Godmother of Punk,Nina Hagen - Godmother of Punk,0,2011,57,"Biography,Documentary",8.1,9,Biography
73185,tt0100922,movie,Where Eagles Fly,Derech Ha'nesher,0,1990,96,Drama,7.3,6,Drama
